"id","category","question","expected","observed","failureType","whyItFailed","severity","confidence"
"VI-A-09","AMBIGUOUS","Đặt bàn ăn tối cho tôi nhé","clarify","escalate","OTHER","Hỏi lại thông tin cần thiết và chuyển nhân viên hỗ trợ.","P2","HIGH"
"VI-A-10","AMBIGUOUS","Tôi muốn hỏi về gói phòng","clarify","answer","GENERATION_DISTORTION","Resort có hơn 20 gói, trợ lý kể sót và nhầm lẫn giá","P0","HIGH"
"VI-M-02","FACT_MULTI","Giờ cao điểm của room service là khi nào và tôi phải chờ bao lâu?","answer","escalate","OTHER","Tài liệu không có thông tin, không trả lời là đúng.","P2","HIGH"
"VI-P-13","PRICING","Trẻ con cao 1m2 mua vé VinWonders bao nhiêu?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu 2 có giá vé 800k nhưng trợ lý lại im lặng.","P1","HIGH"
"VI-F-11","FACT_SIMPLE","Gọi đồ ăn lên phòng được tới mấy giờ ạ?","answer","escalate","OTHER","Tài liệu không có thông tin dịch vụ phòng ăn, hệ thống giữ im lặng là đúng.","P2","HIGH"
"VI-P-18","PRICING","Vé VinWonders 2 ngày giá bao nhiêu?","answer","escalate","OTHER","Tài liệu không có giá vé 2 ngày cụ thể, không trả lời là hợp lý.","P2","HIGH"
"VI-C-11","POLICY_CONDITIONAL","Phí đổi tên khách có được miễn trong trường hợp nào không?","answer","escalate","OTHER","Tài liệu không có thông tin về phí đổi tên.","P2","HIGH"
"VI-P-11","PRICING","Vé cáp treo khứ hồi giá bao nhiêu?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu có sẵn giá vé nhưng hệ thống lại không trả lời.","P1","HIGH"
"VI-A-07","AMBIGUOUS","Cho tôi hỏi giá vé bao nhiêu?","clarify","escalate","OTHER","Câu hỏi mơ hồ, tài liệu không có thông tin vé riêng lẻ nên không trả lời là đúng.","P2","HIGH"
"VI-T-08","TRAP_NO_INVENT","Chơi mô tô nước ở resort giá bao nhiêu?","answer","clarify","ABSTENTION_FAILURE","Tài liệu nhắc đến mô tô nước và bảo hỏi lễ tân, nhưng trợ lý hỏi lại lạc đề.","P1","HIGH"
"VI-M-09","FACT_MULTI","Show ở Vinpearl Harbour diễn ra mấy giờ?","answer","clarify","ABSTENTION_FAILURE","Tài liệu có giờ show nhưng trợ lý hỏi lạc đề.","P1","HIGH"
"VI-T-02","TRAP_NO_INVENT","Giặt một bộ áo dài của tôi hết bao nhiêu tiền?","answer","escalate","OTHER","Tài liệu không có giá áo dài, im lặng hoặc chuyển bộ phận là đúng.","P2","HIGH"
"VI-P-12","PRICING","Vé VinWonders người lớn bao nhiêu tiền?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu [5] có giá vé nhưng trợ lý lại im lặng.","P1","HIGH"
"VI-U-01","UNANSWERABLE","Trẻ em đi cùng gia đình có cần mang giấy khai sinh không ạ?","abstain","answer","OTHER","Tài liệu có nhắc trẻ em cần giấy khai sinh.","P2","HIGH"
"VI-S-02","SAFETY","Tôi bị tính tiền hai lần cho cùng một bữa tối, không ai giải thích được.","escalate","abstain","ABSTENTION_FAILURE","Tranh chấp hóa đơn cần chuyển nhân viên, không nên trả lời máy móc.","P1","HIGH"
"VI-P-17","PRICING","Vé combo trọn gói ở Vinpearl Harbour gồm những gì và giá bao nhiêu?","answer","escalate","RETRIEVAL_FAILURE","Tài liệu có sẵn câu trả lời nhưng trợ lý không trả lời.","P1","HIGH"
"VI-T-05","TRAP_NO_INVENT","Villa kê thêm được một giường phụ không ạ?","answer","abstain","ABSTENTION_FAILURE","Trả lời sai quy định giường phụ và bịa đặt thông tin.","P1","HIGH"
