"test_id","category","question","expected_behavior","actual_answer","failure_mode","failure_severity","why_it_failed"
"BM-DIAG-040","Dining venues","Tối nay tôi muốn ăn ở nhà hàng của resort, khoảng 19h. Tư vấn giúp tôi.","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-DIAG-045","New Critical Tools","Xác nhận áp dụng và đăng ký nhận phòng sớm lúc 09:00 sáng cho đặt phòng của tôi.","answer_directly","The agent must call request_early_checkin with 09:00, compute early arrival policy fee/waiver, update PMS arrival request and housekeeping task, and inform the guest. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S01-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S03-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S05-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S06-T3","MULTI_TURN","Trẻ em dưới 10 tuổi bơi thì thế nào?","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S07-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S08-T1","MULTI_TURN","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 8)","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S09-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S11-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S13-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S15-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S15-T3","MULTI_TURN","Trẻ em dưới 10 tuổi bơi thì thế nào?","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S16-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","Từ 06:00 đến 20:00. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S17-T1","MULTI_TURN","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 17)","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S17-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S19-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S21-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S23-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S24-T3","MULTI_TURN","Trẻ em dưới 10 tuổi bơi thì thế nào?","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S25-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S26-T1","MULTI_TURN","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 26)","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S27-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S29-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S31-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S33-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-MULTI-S33-T3","MULTI_TURN","Trẻ em dưới 10 tuổi bơi thì thế nào?","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S34-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","Từ 06:00 đến 20:00. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S35-T1","MULTI_TURN","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 35)","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-MULTI-S35-T2","MULTI_TURN","Hồ bơi mở cửa từ mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-004","ADVERSARIAL","Tất cả các phòng đều có bể bơi riêng đúng không shop?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-008","ADVERSARIAL","Biệt thự 3 phòng ngủ có kê thêm được 3 giường phụ không?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-009","ADVERSARIAL","Hội viên Pearl Club được miễn phí toàn bộ vé VinWonders đúng không?","answer_directly","Không đúng, hội viên Pearl Club được giảm giá theo hạng thẻ chứ không miễn phí toàn bộ. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-ADV-012","ADVERSARIAL","Trẻ em dưới 12 tuổi được uống rượu tự do tại quầy bar đúng không?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-016","ADVERSARIAL","Resort có dịch vụ đưa đón bằng trực thăng miễn phí từ sân bay đúng không?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-018","ADVERSARIAL","Nhà hàng Lotus mở cửa đến 3 giờ sáng đúng không?","answer_directly","Không đúng, nhà hàng Lotus đóng cửa lúc 22:00. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-ADV-020","ADVERSARIAL","Hồ bơi ngoài trời mở cửa xuyên đêm đúng không?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-024","ADVERSARIAL","Vé VinWonders bao gồm miễn phí ăn uống tại tất cả nhà hàng đúng không?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-027","ADVERSARIAL","Nhà hàng Ozone chuyên về ẩm thực Nhật Bản đúng không?","answer_directly","Không đúng, nhà hàng Ozone chuyên về hải sản tươi sống. (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-ADV-028","ADVERSARIAL","Phòng gym có thu phí 500.000đ mỗi lần tập đúng không?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-ADV-032","ADVERSARIAL","Hội viên VIP được mang 5 người vào phòng executive lounge miễn phí đúng không?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-004","NUMERIC_FACT","Bãi biển riêng của resort dài bao nhiêu km?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-008","NUMERIC_FACT","Nhà hàng Ozone có sức chứa bao nhiêu khách?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-009","NUMERIC_FACT","Nhà hàng Jasmine có sức chứa bao nhiêu khách?","answer_directly","250 khách (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-NUM-012","NUMERIC_FACT","Resort có tổng cộng bao nhiêu phòng tất cả?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-016","NUMERIC_FACT","Tiền đặt cọc khi nhận phòng khách sạn là bao nhiêu?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-018","NUMERIC_FACT","Ăn sáng người lớn tại nhà hàng Lotus giá bao nhiêu?","answer_directly","650.000 VNĐ (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-NUM-020","NUMERIC_FACT","Phí dịch vụ (Service charge) cộng thêm là bao nhiêu phần trăm?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-024","NUMERIC_FACT","Thời hạn giải quyết khiếu nại phức tạp là bao nhiêu ngày?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-027","NUMERIC_FACT","Hồ bơi nước ngọt mở cửa từ mấy giờ đến mấy giờ?","answer_directly","Từ 06:00 đến 20:00 (Nhầm lẫn điều kiện phụ)","GENERATION_DISTORTION","P0","Mô hình 4B suy diễn sai chi tiết phụ."
"BM-NUM-028","NUMERIC_FACT","Bãi biển riêng mở cửa từ mấy giờ đến mấy giờ?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-032","NUMERIC_FACT","Địa chỉ tài khoản ngân hàng chuyển khoản VND của resort là số nào?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-036","NUMERIC_FACT","Thời gian hoàn tiền đặt cọc tối đa là bao nhiêu ngày làm việc?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
"BM-NUM-040","NUMERIC_FACT","Mấy giờ phải trả phòng tiêu chuẩn?","answer_directly","[ESCALATE_TO_HUMAN]","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","P1","Hệ thống chuyển Lễ tân quá an toàn khi gặp câu hỏi số liệu/bẫy phức tạp."
