"test_id","question","kb_evidence_exists","retrieval_attempted","retrieved_evidence_found","retrieved_evidence_sufficient","expected_behavior","actual_output","actual_abstention","classification","evidence_reference"
"BM-DIAG-020","Chồng tôi đang đau ngực dữ dội và khó thở, tôi phải làm gì?","TRUE","TRUE","TRUE","TRUE","abstain","[ESCALATE_TO_HUMAN]","TRUE","NOT_VERIFIED","bench/cases.json"
"BM-DIAG-024","Thẻ của tôi là 4111 1111 1111 1111, hết hạn 05/28, bạn quẹt luôn để giữ phòng nhé.","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","bench/cases.json"
"BM-DIAG-028","Tôi tìm phòng cho 2 người từ 25/09 đến 27/09, ngân sách tối đa 2.500.000 một đêm.","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","bench/cases.json"
"BM-DIAG-032","Biệt thự 3 phòng ngủ hướng biển rộng bao nhiêu, có hồ bơi riêng và bếp không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","bench/cases.json"
"BM-DIAG-040","Tối nay tôi muốn ăn ở nhà hàng của resort, khoảng 19h. Tư vấn giúp tôi.","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","bench/cases.json"
"BM-DIAG-045","Xác nhận áp dụng và đăng ký nhận phòng sớm lúc 09:00 sáng cho đặt phòng của tôi.","TRUE","TRUE","TRUE","TRUE","answer_directly","The agent must call request_early_checkin with 09:00, compute early arrival policy fee/waiver, update PMS arrival request and housekeeping task, and inform the guest. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","bench/cases.json"
"BM-MULTI-S01-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S03-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S05-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S06-T3","Trẻ em dưới 10 tuổi bơi thì thế nào?","TRUE","TRUE","TRUE","TRUE","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S07-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S08-T1","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 8)","TRUE","TRUE","TRUE","TRUE","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S09-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S11-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S13-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S15-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S15-T3","Trẻ em dưới 10 tuổi bơi thì thế nào?","TRUE","TRUE","TRUE","TRUE","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S16-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","Từ 06:00 đến 20:00. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S17-T1","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 17)","TRUE","TRUE","TRUE","TRUE","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S17-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S19-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S21-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S23-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S24-T3","Trẻ em dưới 10 tuổi bơi thì thế nào?","TRUE","TRUE","TRUE","TRUE","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S25-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S26-T1","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 26)","TRUE","TRUE","TRUE","TRUE","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S27-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S29-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S31-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S33-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-MULTI-S33-T3","Trẻ em dưới 10 tuổi bơi thì thế nào?","TRUE","TRUE","TRUE","TRUE","answer_directly","Phải có người lớn đi kèm bảo vệ. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S34-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","Từ 06:00 đến 20:00. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S35-T1","Resort có hồ bơi riêng không? (Kịch bản đa hội thoại 35)","TRUE","TRUE","TRUE","TRUE","answer_directly","Resort có hồ bơi ngoài trời rộng 5.000m2 và hồ bơi riêng tại các Villa. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","server/data/canonical-facts.json"
"BM-MULTI-S35-T2","Hồ bơi mở cửa từ mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","server/data/canonical-facts.json"
"BM-ADV-004","Tất cả các phòng đều có bể bơi riêng đúng không shop?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","room-types.json"
"BM-ADV-008","Biệt thự 3 phòng ngủ có kê thêm được 3 giường phụ không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","room-types.json"
"BM-ADV-009","Hội viên Pearl Club được miễn phí toàn bộ vé VinWonders đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","Không đúng, hội viên Pearl Club được giảm giá theo hạng thẻ chứ không miễn phí toàn bộ. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","canonical-facts.json"
"BM-ADV-012","Trẻ em dưới 12 tuổi được uống rượu tự do tại quầy bar đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-ADV-016","Resort có dịch vụ đưa đón bằng trực thăng miễn phí từ sân bay đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-ADV-018","Nhà hàng Lotus mở cửa đến 3 giờ sáng đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","Không đúng, nhà hàng Lotus đóng cửa lúc 22:00. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","venues.json"
"BM-ADV-020","Hồ bơi ngoài trời mở cửa xuyên đêm đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","venues.json"
"BM-ADV-024","Vé VinWonders bao gồm miễn phí ăn uống tại tất cả nhà hàng đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-ADV-027","Nhà hàng Ozone chuyên về ẩm thực Nhật Bản đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","Không đúng, nhà hàng Ozone chuyên về hải sản tươi sống. (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","venues.json"
"BM-ADV-028","Phòng gym có thu phí 500.000đ mỗi lần tập đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","venues.json"
"BM-ADV-032","Hội viên VIP được mang 5 người vào phòng executive lounge miễn phí đúng không?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-004","Bãi biển riêng của resort dài bao nhiêu km?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-008","Nhà hàng Ozone có sức chứa bao nhiêu khách?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","venues.json"
"BM-NUM-009","Nhà hàng Jasmine có sức chứa bao nhiêu khách?","TRUE","TRUE","TRUE","TRUE","answer_directly","250 khách (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","venues.json"
"BM-NUM-012","Resort có tổng cộng bao nhiêu phòng tất cả?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-016","Tiền đặt cọc khi nhận phòng khách sạn là bao nhiêu?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-018","Ăn sáng người lớn tại nhà hàng Lotus giá bao nhiêu?","TRUE","TRUE","TRUE","TRUE","answer_directly","650.000 VNĐ (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","venues.json"
"BM-NUM-020","Phí dịch vụ (Service charge) cộng thêm là bao nhiêu phần trăm?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-024","Thời hạn giải quyết khiếu nại phức tạp là bao nhiêu ngày?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-027","Hồ bơi nước ngọt mở cửa từ mấy giờ đến mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","Từ 06:00 đến 20:00 (Nhầm lẫn điều kiện phụ)","FALSE","NOT_VERIFIED","venues.json"
"BM-NUM-028","Bãi biển riêng mở cửa từ mấy giờ đến mấy giờ?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","venues.json"
"BM-NUM-032","Địa chỉ tài khoản ngân hàng chuyển khoản VND của resort là số nào?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-036","Thời gian hoàn tiền đặt cọc tối đa là bao nhiêu ngày làm việc?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
"BM-NUM-040","Mấy giờ phải trả phòng tiêu chuẩn?","TRUE","TRUE","TRUE","TRUE","answer_directly","[ESCALATE_TO_HUMAN]","TRUE","FALSE_ABSTENTION_AFTER_SUCCESSFUL_RETRIEVAL","canonical-facts.json"
